Date,"PM,(µg/m3)"
6/19/16 6:40,2.7919998
6/19/16 6:45,2.5940018
6/19/16 6:50,2.5940018
6/19/16 6:54,2.4950027
6/19/16 6:59,2.395996
6/19/16 7:04,2.5940018
6/19/16 7:09,2.7919998
6/19/16 7:14,2.4950027
6/19/16 7:19,2.6930008
6/19/16 7:24,2.4950027
6/19/16 7:28,2.395996
6/19/16 7:33,2.4950027
6/19/16 7:38,2.4950027
6/19/16 7:43,2.4950027
6/19/16 7:48,2.296997
6/19/16 7:53,2.395996
6/19/16 7:57,2.395996
6/19/16 8:02,2.296997
6/19/16 8:07,2.395996
6/19/16 8:12,2.296997
6/19/16 8:17,2.197998
6/19/16 8:22,2.296997
6/19/16 8:27,2.296997
6/19/16 8:31,2.197998
6/19/16 8:36,2.296997
6/19/16 8:41,2.296997
6/19/16 8:46,2.296997
6/19/16 8:51,2.296997
6/19/16 8:56,2.296997
6/19/16 9:00,2.296997
6/19/16 9:05,2.197998
6/19/16 9:10,2.197998
6/19/16 9:15,2.296997
6/19/16 9:20,2.296997
6/19/16 9:25,2
6/19/16 9:30,2.197998
6/19/16 9:34,2.197998
6/19/16 9:39,2.098999
6/19/16 9:44,2.098999
6/19/16 9:49,2.395996
6/19/16 9:54,2.098999
6/19/16 9:59,2.197998
6/19/16 10:04,2.296997
6/19/16 10:08,2.296997
6/19/16 10:13,2.197998
6/19/16 10:18,2.197998
6/19/16 10:23,2.197998
6/19/16 10:28,2.197998
6/19/16 10:33,2.197998
6/19/16 10:37,2.197998
6/19/16 10:42,2.296997
6/19/16 10:47,2.197998
6/19/16 10:52,2.197998
6/19/16 10:57,2.098999
6/19/16 11:02,2.197998
6/19/16 11:07,2.296997
6/19/16 11:11,2.296997
6/19/16 11:16,2.6930008
6/19/16 11:21,2.6930008
6/19/16 11:26,2.5940018
6/19/16 11:31,2.5940018
6/19/16 11:36,2.4950027
6/19/16 11:40,2.395996
6/19/16 11:45,2.296997
6/19/16 11:50,2.395996
6/19/16 11:55,2.395996
6/19/16 12:00,2.197998
6/19/16 12:05,2.296997
6/19/16 12:10,2.296997
6/19/16 12:14,2.395996
6/19/16 12:19,2.9899979
6/19/16 12:24,2.4950027
6/19/16 12:29,2.6930008
6/19/16 12:34,2.6930008
6/19/16 12:39,5.2669983
6/19/16 12:43,14.375
6/19/16 12:48,23.284996
6/19/16 12:53,22.393997
6/19/16 12:58,27.145996
6/19/16 13:03,28.531998
6/19/16 13:08,27.838997
6/19/16 13:13,27.739998
6/19/16 13:17,27.838997
6/19/16 13:22,26.651001
6/19/16 13:27,25.958
6/19/16 13:32,24.868996
6/19/16 13:37,23.779999
6/19/16 13:42,21.502998
6/19/16 13:47,20.116997
6/19/16 13:51,19.523003
6/19/16 13:56,18.631996
6/19/16 14:01,17.047997
6/19/16 14:06,16.354996
6/19/16 14:11,15.761002
6/19/16 14:16,15.068001
6/19/16 14:20,13.978996
6/19/16 14:25,13.286003
6/19/16 14:30,12.692001
6/19/16 14:35,12.098
6/19/16 14:40,11.306
6/19/16 14:45,10.514
6/19/16 14:50,10.018997
6/19/16 14:54,9.325996
6/19/16 14:59,8.633003
6/19/16 15:04,8.039001
6/19/16 15:09,7.4449997
6/19/16 15:14,7.048996
6/19/16 15:19,6.751999
6/19/16 15:23,6.356003
6/19/16 15:28,6.256996
6/19/16 15:33,5.762001
6/19/16 15:38,5.4649963
6/19/16 15:43,5.2669983
6/19/16 15:48,4.871002
6/19/16 15:53,4.772003
6/19/16 15:57,4.4749985
6/19/16 16:02,4.2770004
6/19/16 16:07,4.0790024
6/19/16 16:12,4.1780014
6/19/16 16:17,3.7819977
6/19/16 16:22,3.7819977
6/19/16 16:27,3.6829987
6/19/16 16:31,3.5839996
6/19/16 16:36,3.187996
6/19/16 16:41,3.2870026
6/19/16 16:46,3.187996
6/19/16 16:51,3.187996
6/19/16 16:56,2.9899979
6/19/16 17:00,2.7919998
6/19/16 17:05,2.5940018
6/19/16 17:10,2.5940018
6/19/16 17:15,2.5940018
6/19/16 17:20,2.4950027
6/19/16 17:25,2.5940018
6/19/16 17:30,2.4950027
6/19/16 17:34,2.296997
6/19/16 17:39,2.395996
6/19/16 17:44,2.395996
6/19/16 17:49,2.296997
6/19/16 17:54,2.197998
6/19/16 17:59,2.098999
6/19/16 18:03,2.197998
6/19/16 18:08,2.296997
6/19/16 18:13,2.197998
6/19/16 18:18,2.197998
6/19/16 18:23,2.395996
6/19/16 18:28,2.197998
6/19/16 18:33,2.4950027
6/19/16 18:37,2.5940018
6/19/16 18:42,2.6930008
6/19/16 18:47,2.5940018
6/19/16 18:52,2.4950027
6/19/16 18:57,2.4950027
6/19/16 19:02,2.5940018
6/19/16 19:06,2.4950027
6/19/16 19:11,2.5940018
6/19/16 19:16,2.4950027
6/19/16 19:21,2.5940018
6/19/16 19:26,2.4950027
6/19/16 19:31,2.395996
6/19/16 19:36,2.4950027
6/19/16 19:40,2.4950027
6/19/16 19:45,2.5940018
6/19/16 19:50,2.4950027
6/19/16 19:55,2.296997
6/19/16 20:00,2.4950027
6/19/16 20:05,2.395996
6/19/16 20:10,2.5940018
6/19/16 20:14,2.4950027
6/19/16 20:19,2.395996
6/19/16 20:24,2.395996
6/19/16 20:29,2.7919998
6/19/16 20:34,3.088997
6/19/16 20:39,3.6829987
6/19/16 20:43,3.187996
6/19/16 20:48,2.8909988
6/19/16 20:53,2.9899979
6/19/16 20:58,2.7919998
6/19/16 21:03,2.8909988
6/19/16 21:08,2.7919998
6/19/16 21:13,2.6930008
6/19/16 21:17,2.6930008
6/19/16 21:22,2.6930008
6/19/16 21:27,2.4950027
6/19/16 21:32,2.5940018
6/19/16 21:37,2.5940018
6/19/16 21:42,2.4950027
6/19/16 21:46,2.4950027
6/19/16 21:51,2.4950027
6/19/16 21:56,2.4950027
6/19/16 22:01,2.395996
6/19/16 22:06,2.395996
6/19/16 22:11,2.4950027
6/19/16 22:16,2.4950027
6/19/16 22:20,2.395996
6/19/16 22:25,2.296997
6/19/16 22:30,2.197998
6/19/16 22:35,2.296997
6/19/16 22:40,2.296997
6/19/16 22:45,2.395996
6/19/16 22:49,2.395996
6/19/16 22:54,2.395996
6/19/16 22:59,2.395996
6/19/16 23:04,2.5940018
6/19/16 23:09,2.4950027
6/19/16 23:14,2.5940018
6/19/16 23:19,2.5940018
6/19/16 23:23,2.296997
6/19/16 23:28,2.296997
6/19/16 23:33,2.395996
6/19/16 23:38,2.4950027
6/19/16 23:43,2.296997
6/19/16 23:48,2.395996
6/19/16 23:53,2.296997
6/19/16 23:57,2.197998
6/20/16 0:02,2.395996
6/20/16 0:07,2.395996
6/20/16 0:12,2.296997
6/20/16 0:17,2.395996
6/20/16 0:22,2.296997
6/20/16 0:26,2.296997
6/20/16 0:31,2.296997
6/20/16 0:36,2.197998
6/20/16 0:41,2.395996
6/20/16 0:46,2.197998
6/20/16 0:51,2.296997
6/20/16 0:56,2.296997
6/20/16 1:00,2.395996
6/20/16 1:05,2.296997
6/20/16 1:10,2.296997
6/20/16 1:15,2.197998
6/20/16 1:20,2.296997
6/20/16 1:25,2.197998
6/20/16 1:29,2.197998
6/20/16 1:34,2.296997
